,Title,Body,Stars,Rated,Date Posted,Time Posted,Name,userId,Clean_Text_Body
0,Excellent service,Excellent service. I had a really good experience with them.,5, Excellent,3/15/2021,20:13:18+0,Varun,6,excellent service good experience
1,The best 😁😉,-,5, Excellent,3/15/2021,16:29:14+0,Maja Šitum,6,
2,Excellent service!,-,5, Excellent,3/13/2021,23:48:45+0,Eugen Tseng,6,
3,A VERY valuable employee....,"I called your number and was assisted by Tina who helped me identify a policy that would cover my extended and complicated travel plans. She was eager to help, clear, thorough, friendly & professional. After I reviewed her quote I called back, 2 days later,  to finalize the purchase and I was very pleased when it was again Tina that answered my call and quickly and efficiently helped me. You have a very valuable employee in Tina and I hope that you are treating her accordingly!",5, Excellent,3/13/2021,16:51:17+0,Maurice Maurizi,6,call number assist tina help identify policy cover extend complicate travel plan eager help clear thorough friendly professional reviewed quote call  day later finalize purchase pleased tina answer quickly efficiently help valuable employee tina hope treat accordingly
4,Great service!!!,-,5, Excellent,3/13/2021,15:19:48+0,Hristian Anchev,6,
5,Nice sit and good,-,5, Excellent,3/13/2021,09:54:50+0,عمور عمور,6,
6,Best deals provided online can’t…,Best deals provided online can’t complain good service,5, Excellent,3/10/2021,04:47:45+0,billy rashford,6,best deal provide online  complain good service
7,Travel Insurance Newbie & Thankful I found Aardy from my initial google search!,"I’ve never purchased travel insurance before, but am leaving for Costa Rica in two weeks and they require it. Aardy was one of the top websites to come up on a random google search.  They allowed me to compare various companies prices and coverages at a glance. I then used the online ‘chat’ feature to get a few more questions answered.  Later I called the main number which was on an email sent to me from the gal I was messaging with on the chat feature.  I spoke with a different agent, but she quickly looked up my email and insurance bids and answered all of my questions.She was knowledgeable about current requirements for my travel destination and made sure to help me fill out everything correctly upon purchasing a plan.I’m thankful I stumbled upon Aardy as it not only offered affordable insurance plan options but it made my job of finding travel insurance companies, checking policies to make sure they were adequate, and then purchasing a policy very smooth and efficient.",5, Excellent,3/10/2021,03:42:31+0,Sarah D.,6, purchase travel insurance leave costa rica week require aardy website come random google search allow compare company price coverage glance online  chat  feature question answer later call main number email send gal messaging chat feature speak different agent quickly look email insurance bid answer questionsshe knowledgeable current requirement travel destination sure help fill correctly purchase plani  thankful stumble aardy offer affordable insurance plan option job find travel insurance company check policy sure adequate purchasing policy smooth efficient
8,Very easy to get a quote,Very easy to get a quote. Also called with a question and got a clear and concise replt.,5, Excellent,3/8/2021,18:04:38+0,Kim Kovalik,6,easy quote call question get clear concise replt
9,Excellent and quick service by chat,Chatted with Reece for about 10 mins.  Gave all the pertinent details of the trip and then I got a link to the best plan for us.  Perfect service!!  Highly recommend!,5, Excellent,3/7/2021,23:46:59+0,Richard Zorn,6,chat reece  min give pertinent detail trip get link best plan perfect service highly recommend
10,Excellent response time!,"Excellent response time, courteous and professional!  Both representatives, Reece on the online chat and Denise on the phone were most informative and easy to work with!",5, Excellent,3/7/2021,20:55:37+0,Njideka O. Wiggins,6,excellent response time courteous professional representative reece online chat denise phone informative easy work
11,So many great choices!,"Great information, fast, easy to use.  Almost information overload, but well presented.  Had no idea I had so many travel insurance choices.",5, Excellent,3/7/2021,18:04:17+0,Ghostrider Jim,6,great information fast easy use information overload present idea travel insurance choice
12,Easy to use,Easy to use.  Friendly people.  Always helpful.  Even called me back after waiting a while for an agent.  In the meantime I figured out what I wanted to ask an agent but they called me and said we see you tried to call us.....how can we help!,5, Excellent,3/6/2021,23:39:54+0,Gary LaRocco,6,easy use friendly people helpful call waiting agent meantime figure want ask agent call say tried  how help
13,Intl travel insurance - China…,The agent was very knowledeable about travel insurance and explained options and pitfalls very well.,5, Excellent,3/6/2021,19:45:12+0,Fred Elias,6,agent knowledeable travel insurance explain option pitfall
14,Better Prices!,"After purchasing an expensive travel insurance policy from another source, I found AARDY.com and there were several good comparable options.  I saved several hundred dollars! One difference was I opted for a 75% CFAR policy instead of 100%, but it seemed like the best thing to do. The agents were very kind, knowledgeable and helpful.",5, Excellent,3/6/2021,18:05:37+0,Margaret Carlson,6,purchase expensive travel insurance policy source find aardycom good comparable option save dollar difference opt  cfar policy instead  like best thing agent kind knowledgeable helpful
15,Great company to work with,-,5, Excellent,3/5/2021,04:01:59+0,Mary Thompson,6,
16,Excellent service and the agent I spoke…,Excellent service and the agent I spoke to was very knowledgeable about different plans.,5, Excellent,3/4/2021,18:52:34+0,Arati Pandya,6,excellent service agent speak knowledgeable different plan
17,Was handed the way paying customer's…,"Was handed the way paying customer's enjoy. Friendly, precise and efficient.  A very short time on HOLD. Yeah.",5, Excellent,3/2/2021,18:47:45+0,Eric Bardrof,6,hand way pay customer enjoy friendly precise efficient short time hold yeah
18,Great Experience!,I spoke with Denise twice and both times she was pleasant and very helpful. After giving her all the pertinent information she gave me her suggestion but with this being a "once in a lifetime trip" for me I opted to go with alittle more coverage. She agreed sensing my hesitation on the first option. I would definitely use Aardy again.,5, Excellent,2/27/2021,00:08:49+0,BJ,6,spoke denise twice time pleasant helpful give pertinent information give suggestion  lifetime trip  opt alittle coverage agree sense hesitation option definitely use aardy
19,AARDY is worth the search,AARDY is worth the search.  They quickly and efficiently provided me with insurance quotes and the prices were very reasonable.  I needed to make a date change and they accommodated me without hesitation.  AARDY is now bookmarked for future trips!,5, Excellent,2/24/2021,23:49:49+0,Satisfied,6,aardy worth search quickly efficiently provide insurance quote price reasonable needed date change accommodate hesitation aardy bookmarked future trip
20,Good Service and Professional,"I had a few questions and called to speak to one of your agents.  They were very courteous, informative and answered all of my questions.",5, Excellent,2/24/2021,22:47:12+0,Brad,6,question call speak agent courteous informative answer question
21,easy to compare and contrast various…,easy to compare and contrast various policies; simple signup,5, Excellent,2/23/2021,23:29:33+0,Debra,6,easy compare contrast policy simple signup
22,Great service!,-,5, Excellent,2/23/2021,01:16:36+0,Jamie Baker,6,
23,no hassle,nice straight forward no problems,5, Excellent,2/22/2021,16:03:26+0,customer,6,nice straight forward problem
