,Title,Body,Stars,Rated,Date Posted,Time Posted,Name,userId,Clean_Text_Body
0,Very pleasant and efficient…,Very pleasant and efficient reinstatement of policy for previously cancelled travel: thanks!,5, Excellent,3/9/2021,18:22:14+0,Susan,6,pleasant efficient reinstatement policy previously cancel travel thanks
1,Please pay my claim.,"When I was booking the insurance customer service was very supportive. That has drastically changed now that I have filed a claim.  Since initially submitting my claim for cancelled travel eight weeks ago I have been repeatedly asked for more documentation. All of which I supplied promptly and all of which could have been included with my original claim, had it been requested at that time. It appears that the claim process is designed to procrastinate payment.  Other than the automated email generated to provide the most limited amount of information regarding the status my claim, my email is not responded to, nor are my phone calls.  Please pay my claim. Thank you",2, Poor,3/9/2021,15:08:27+0,H Shamah,6,book insurance customer service supportive drastically change file claim initially submit claim cancel travel week ago repeatedly ask documentation supply promptly include original claim request time appear claim process design procrastinate payment automate email generate provide limited information status claim email respond phone call pay claim thank
2,DO NOT USE THIS SERVICE,"This is the slowest, most useless service. Horrible customer service, unclear UX/UI/Content Design that tells you absolutely nothing about the status of your claim.",1, Bad,3/3/2021,22:27:19+0,Anonymous ,6,slow useless service horrible customer service unclear uxuicontent design tell absolutely status claim
3,I have not had a claim so I cannot tell…,I have not had a claim so I cannot tell you how good the service will be in this area.  As far as issuing the contract I had no problems except for the pandemic which of course made the policy useless.  We did not travel anywhere for the past year and will not travel anywhere this year. So we are not buying an annual contract again at this time.  Once it is safe to travel internationally I will be buying another contract.,5, Excellent,3/2/2021,12:03:51+0,steven drobnis,6,claim tell good service area far issue contract problem pandemic course policy useless travel past year travel year buy annual contract time safe travel internationally buy contract
4,I’ve always had good service with…,I’ve always had good service with RoamRight but this year it was extra special..The pandemic caused my trip to rescheduled three times.The RoamRight representative was helpful and pleasant.It’s also worth noting my phone calls were answered promptly.,5, Excellent,3/1/2021,17:19:19+0,Cathleen ,6, good service roamright year extra specialthe pandemic cause trip reschedule timesthe roamright representative helpful pleasantit  worth note phone call answer promptly
5,Our trip had been cancelled twice,"Our trip had been cancelled twice, RoamRight was informed of the changes which was reconsidered and moved to the new dates. No change.",5, Excellent,3/1/2021,06:50:51+0,Jazzy G,6,trip cancel twice roamright inform change reconsider move new date change
6,Happy with turnaround time and the…,Happy with turnaround time and the outcome,5, Excellent,2/23/2021,16:27:02+0,Vladimir M,6,happy turnaround time outcome
7,Disappointed,I want confidence when I travel.  I purchased this insurance with trust and it gave me confidence.  When my trip had to be cancelled for a work reason based on new CDC guidelines for travel outside the country my claim was denied because I was cancelling for "fear" of Covid.  Nobody would even listen that it was not my choice and it was definitely not fear.  Shame on roam right for twisting fine print and taking advantage of customers in a time like we are living in with so much uncertainty.,1, Bad,2/17/2021,18:12:53+0,Tracy Goralczyk,6,want confidence travel purchase insurance trust give confidence trip cancel work reason base new cdc guideline travel outside country claim deny cancel  fear  covid listen choice definitely fear shame roam right twist fine print take advantage customer time like living uncertainty
8,Goodluck if you actually have to file a claim with RoamRight...,"RoamRight does everything right up until you actually have to file a claim. At that moment, they are incredibly slow, nonresponsive and full of ""I need more information"". RoamRight is doing everything possible to not have to process the Claim. They refuse to have a conversation on the phone and instead default to email and closing our your Claim without an explanation. Look elsewhere. This service deserves legal attention.",1, Bad,2/12/2021,02:18:55+0,Zach Theis,6,roamright right actually file claim moment incredibly slow nonresponsive  need information  roamright possible process claim refuse conversation phone instead default email closing claim explanation look service deserve legal attention
9,Changed the rules after the fact. avoid this cmpany,"I bought a year long policy on January 26, 2020.  RoamRight accepted my payment and issued the policy. Over a week later, RoamRight announced that they would not honor the policy for Covid related claims retroactively to January 20th. I plan to Roam again and if you guess it will be without this company you will be Right. Total waste of money.",1, Bad,2/11/2021,15:24:32+0,Kelsey H,6,buy year long policy january   roamright accept payment issue policy week later roamright announce honor policy covid relate claim retroactively january th plan roam guess company right total waste money
