,Title,Body,Stars,Rated,Date Posted,Time Posted,Name,userId,Clean_Text_Body
0,Easy filling out forms and pretty…,Easy filling out forms and pretty painless transaction. Hope I don’t have to use it!!,5, Excellent,3/18/2021,01:42:32+0,customer,6,easy fill form pretty painless transaction hope  use
1,Did I have a choice,Did I have a choice? No but since I didn’t at least they made the process of obtaining the policy easy,5, Excellent,3/17/2021,04:17:59+0,Matthew Crumbley,6,choice  process obtain policy easy
2,Easy fast simple and your covered great…,Easy fast simple and your covered great prices,5, Excellent,3/16/2021,15:55:19+0,customer,6,easy fast simple cover great price
3,Very simple & cost effective,-,5, Excellent,3/15/2021,21:00:26+0,customer,6,
4,Thanks to Visitors Coverage for quick…,Thanks to Visitors Coverage for quick and easy ways to purchase and renew the coverage.,5, Excellent,3/15/2021,17:00:29+0,customer,6,thanks visitor coverage quick easy way purchase renew coverage
5,Excellent site,"The best, by far. Easy to use, clear, fast. A job well done indeed - highly recommended",5, Excellent,3/15/2021,09:41:30+0,Emanuele Leveroni,6,best far easy use clear fast job highly recommend
6,Easy process and good price,Very good coverage and cheaper price..easy process online,5, Excellent,3/15/2021,03:35:49+0,customer,6,good coverage cheap priceeasy process online
7,Great experirnce,-,5, Excellent,3/14/2021,20:16:29+0,customer,6,
8,Great services,-,5, Excellent,3/13/2021,16:22:01+0,customer,6,
9,Easy to sign up,"Easy to sign up, very friendly and helpful agents!",5, Excellent,3/12/2021,18:34:22+0,Joanne,6,easy sign friendly helpful agent
10,👍 thanks,"Easy to use, fair pricing, efficient. Thanks",5, Excellent,3/12/2021,11:47:31+0,IK ,6,easy use fair pricing efficient thanks
11,Covered,"It was easy and affordable. I can relax and enjoy my trip, knowing I am completely covered!",5, Excellent,3/11/2021,18:04:08+0,Closure,6,easy affordable relax enjoy trip know completely cover
12,Easy and fast comparison,Experience was very good as this portal made it very easy for me to compare between plans and chose the one I am comfortable with vs going to individual plan and read all details. All relevant details are show upfront which makes it easy to select.,5, Excellent,3/10/2021,16:37:01+0,Ashok,6,experience good portal easy compare plan choose comfortable v go individual plan read detail relevant detail upfront make easy select
13,excellent price and very fast,-,5, Excellent,3/9/2021,21:03:05+0,Sebastian P.,6,
